Board Game Rank,Game_Id,Title,Description,AvgRating,Thumbnail,thumbnail,image,yearpublished,minplayers,maxplayers,playingtime,minage,boardgamecategory,boardgamedesigner,boardgamepublisher,averageweight,description_detail,category_bert
335,50,Lost Cities,"Set out on expeditions, but will your findings outweigh the cost of each adventure?",7.25,https://cf.geekdo-images.com/AL5D-dXabY-Lk3PqIFk_0g__micro/img/egCl5r5w1z-09j42C8aT6H0ZbCU=/fit-in/64x64/filters:strip_icc()/pic4597095.jpg,https://cf.geekdo-images.com/AL5D-dXabY-Lk3PqIFk_0g__thumb/img/Q-76aN92M3OveMp26t7b0i7V-i4=/fit-in/200x150/filters:strip_icc()/pic4597095.jpg,https://cf.geekdo-images.com/AL5D-dXabY-Lk3PqIFk_0g__original/img/PdGBQ7xc0GA9ndKnnInx_sQwvl4=/0x0/filters:format(jpeg)/pic4597095.jpg,1999,2,2,30,10,"['Card Game', 'Exploration', 'Math']",['Reiner Knizia'],KOSMOS,1.4766,"Lost Cities is a card game in the Kosmos two-player series. The game originally consisted of a single deck of cards of rank 2??0 in five different colors with three special ""handshakes"" (""HS"" in scoring examples below) in each suit, but as of 2019 the game now includes six colored suits, with the sixth color being optional for gameplay. A game board is included to organize discarded cards and help players organize their card collections.
The object of the game is to gain points by mounting profitable archaeological expeditions to the different sites represented by the colored suits of cards. On a player's turn, they must first play one card, either to an expedition or by discarding it to the color-appropriate discard pile, then draw one card, either from the deck or from the top of a discard pile. Cards played to expeditions must be in ascending order, but they need not be consecutive. Handshakes are considered lower than a 2 and represent investments in an expedition. Thus, if you play a red 4, you may play any other red card higher than a 4 on a future turn but may no longer play a handshake, the 2, or the 3.
The game continues in this fashion with players alternating turns until the final card is taken from the deck. The rest of the cards in hand are then discarded and players score their expeditions. Each expedition that has at least one card played into it must be scored. Cards played into an expedition are worth their rank in points, and handshakes count as a multiplier against your final total; one handshake doubles an expedition's value, while two handshakes triples that value and three handshakes quadruple it. Expeditions start at a value of -20, so you must play at least 20 points of cards into an expedition in order to make a profit. If you are left with a negative value and have a handshake, the multiplier still applies. A 20-point bonus is awarded to every expedition with at least eight cards played into it. A complete game of lasts three matches, with scores for each match being added together.",['strategy']
336,277085,Love Letter,Help sneakily maneuver your love letter to the Princess?�or to those closest to her.,7.52,https://cf.geekdo-images.com/V7WQjhAh0AatPXTYOrXtCQ__micro/img/HZJZuVK9CMjkKv1xgBzKHURMVY8=/fit-in/64x64/filters:strip_icc()/pic4766499.png,https://cf.geekdo-images.com/V7WQjhAh0AatPXTYOrXtCQ__thumb/img/PNp3MFmie6ffR5RtyNs7TsVV4wA=/fit-in/200x150/filters:strip_icc()/pic4766499.png,https://cf.geekdo-images.com/V7WQjhAh0AatPXTYOrXtCQ__original/img/peOFPtAkzWUSpOSVTJu3pTDv2ck=/0x0/filters:format(png)/pic4766499.png,2019,2,6,20,10,"['Card Game', 'Deduction', 'Renaissance']","['Seiji Kanai', 'Justin Kemppainen', 'Alexandar Ortloff-Tang']",Z-Man Games,1.1169,"The noble Princess is looking for an ideal partner and confidant to help with her royal duties when she one day assumes the throne. You must prove your worth and gain her trust by enlisting allies, friends, and family of the Princess to carry a letter of intent to her. Can you earn the Princess' trust and become her confidant?
Playing cards one at a time, players in Love Letter use the abilities of these key people in the Princess' life to outwit their opponents and successfully deliver their letter and gain her favor. Players must utilize each character's special skill to avoid being caught and successfully deliver their letter to the Princess. Once a set number of favor tokens are acquired, that player wins and becomes the Princess' confidant.
This 2019 edition of Love Letter features new artwork by Citadels artist Andrew Bosley, screen-printed tokens, and two new characters (five cards in total) that allow for games with up to six players. When played, the Chancellor (value 6) allows you to draw two new cards, add those to your hand, then place two cards of your choice on the bottom of the deck. The Spy (value 0) wins you a favor token if you were the only player to play or discard a spy during the round.
?�description from the publisher",['role playing']
337,97207,Dungeon Petz,Raise monstrous pets and sell them to demanding Dungeon Lords for fame and fortune.,7.39,https://cf.geekdo-images.com/7JjAm9RM8E2pbu5KCCbsTQ__micro/img/sAJJZ3wL76E2goUQfFPZjPvVVHs=/fit-in/64x64/filters:strip_icc()/pic1103979.jpg,https://cf.geekdo-images.com/7JjAm9RM8E2pbu5KCCbsTQ__thumb/img/vySdmxWBad2T5Xrylxv-jYukFmU=/fit-in/200x150/filters:strip_icc()/pic1103979.jpg,https://cf.geekdo-images.com/7JjAm9RM8E2pbu5KCCbsTQ__original/img/67Yryf6M4Tkv6gDAUIsbqPyhJWA=/0x0/filters:format(jpeg)/pic1103979.jpg,2011,2,4,90,13,"['Animals', 'Fantasy', 'Humor']",['Vlaada Chvátil'],Czech Games Edition,3.624,"Become the leader of an imp family that has just started a new business ??breeding and selling petz. Sound simple and safe? Well, we forgot to mention that those petz are for Dungeon Lords. This means magical, playful, sometimes angry monsters that constantly desire attention and at the very moment you want them to demonstrate their qualities to buyers they are sick or they poop. Sometimes you are even glad that you got rid of them ??but the profit is unbelievable.
Dungeon Petz is a standalone game set in the Dungeon Lords universe. The game consists of several rounds in which players use unusual worker placement mechanisms (players simultaneously prepare different sized groups of imps in order to play sooner than others) to prepare themselves for the uneasy task of raising creature cubs and pleasing their different needs (represented by cards) in order to sell them as grown and scary creatures to Dungeon Lords. In the meantime, they also attend various contests in which they show off their pets, scoring additional points.","['strategy', 'adventure', 'role playing']"
338,318184,Imperium: Classics,Compete to become the most dominant empire the world has ever seen!,7.7,https://cf.geekdo-images.com/MN0OvKejfrfwD6bupQHp4g__micro/img/caOGdDzcoZ51N1krVuUw_Xu3UOk=/fit-in/64x64/filters:strip_icc()/pic5623566.jpg,https://cf.geekdo-images.com/MN0OvKejfrfwD6bupQHp4g__thumb/img/MVh7xtQ4l17hprI4mFIk9Kswk6s=/fit-in/200x150/filters:strip_icc()/pic5623566.jpg,https://cf.geekdo-images.com/MN0OvKejfrfwD6bupQHp4g__original/img/AYYyjw10ExHhOFLYectIclqQnxI=/0x0/filters:format(jpeg)/pic5623566.jpg,2021,1,4,120,14,"['Ancient', 'Card Game', 'Civilization']","['Nigel Buckle', 'Dávid Turczi']",Osprey Games,3.6005,"Formidable adversaries are arrayed against you. Your people stand ready. History beckons.
In your hands lies the destiny of one of history's great civilizations. Under constant threat of attack, you must conquer new lands, oversee dramatic scientific and cultural advances, and lead your people into the era of empire. Expand too rapidly, and unrest will bring your civilization to its knees; build up too slowly, however, and you might find yourself a mere footnote of history. As one of eight radically asymmetric civilizations, you will compete to become the most dominant empire the world has ever seen.
Imperium: Classics is a standalone game that contains the Carthaginian, Celt, Greek, Macedonian, Persian, Roman, Scythian, and Viking civilizations and an individual solo opponent behaving as each nation. It is also fully compatible with Imperium: Legends for players wanting to expand their pool of civilizations even further.
?�description from the publisher",['strategy']
339,172,For Sale,"What's your bid? Bid on promising property bundles, then sell properties for checks.",7.26,https://cf.geekdo-images.com/dJh9HkZC346NgPTAicJq_A__micro/img/DgO2JLvIUxkt8F4ENaFM7NH5v8o=/fit-in/64x64/filters:strip_icc()/pic1513085.jpg,https://cf.geekdo-images.com/dJh9HkZC346NgPTAicJq_A__thumb/img/3cgW5aP-JJeKSpZMjA0NFheMnfY=/fit-in/200x150/filters:strip_icc()/pic1513085.jpg,https://cf.geekdo-images.com/dJh9HkZC346NgPTAicJq_A__original/img/6ib2NLakSlsf69WYwCOe9NNLcsc=/0x0/filters:format(jpeg)/pic1513085.jpg,1997,3,6,30,10,"['Card Game', 'Economic']",['Stefan Dorra'],Eagle-Gryphon Games,1.2527,"For Sale is a quick, fun game nominally about buying and selling real estate. During the game's two distinct phases, players first bid for several buildings then, after all buildings have been bought, sell the buildings for the greatest profit possible.
The original Ravensburger/FX Schmid edition (1997/98) has slightly different rules than later English editions, and only 20 buildings instead of 30.
The Überplay 2005 Edition has new art, rules and card distribution changes, and it accommodates 3-6 players.
The Gryphon 2009 Edition uses the Überplay art for the faces of the property cards, while replacing most other art. The rules are the same as the Überplay edition, with the exception of the rounding rule (which was stated in different ways in different printings of the Überplay edition).
Rounding rule
The rounding rule preferred by the designer Stefan Dorra is that players get back half of their bid rounded DOWN (not UP), as confirmed in correspondence with him here and here. A history of how the rounding rule has changed in different editions is documented here.",['economy']
340,38453,Space Alert,"This ship runs itself! Wait, why are our shields down and where did you go? Help us!",7.39,https://cf.geekdo-images.com/tinE1f2lauIsEL4aC9aU-w__micro/img/KUsjw2BlqR5zR3HqPp2wy8hsets=/fit-in/64x64/filters:strip_icc()/pic384313.jpg,https://cf.geekdo-images.com/tinE1f2lauIsEL4aC9aU-w__thumb/img/9tewdwxUKcqikj0QlVSUmwRPK68=/fit-in/200x150/filters:strip_icc()/pic384313.jpg,https://cf.geekdo-images.com/tinE1f2lauIsEL4aC9aU-w__original/img/ccy5tGJK7WF9B6ykayJEm5cReTM=/0x0/filters:format(jpeg)/pic384313.jpg,2008,1,5,30,12,"['Electronic', 'Real-time', 'Science Fiction', 'Space Exploration']",['Vlaada Chvátil'],Czech Games Edition,2.9695,"Space Alert is a cooperative team survival game. Players become crew members of a small spaceship scanning dangerous sectors of the galaxy. The missions last just 10 real-time minutes (hyperspace jump, sector scan, hyperspace jump back) and the only task the players have is to protect their ship.
During play, the central computer will announce the presence of various threats on one of the supplied 10 minute soundtracks that also acts as a game timer. The threats vary from space battleships and interceptors to different interstellar monsters and abominations, asteroids or even intruders and malfunctions on the spaceship. Players have to agree who will take care of which task and coordinate their actions (moving around the ship, firing weapons, distributing energy, using battlebots to deal with intruders, launching guided missiles, etc.) in real time to defend the ship. Only a well-working team can survive 10 minutes and make the jump back to safety.
The game offers several difficulty levels, huge variability and a unique experience for one to five player teams. One mission lasts only about 30 minutes, including setup and evaluation.
(Based on a description from Czech Games Edition)",['strategy']
341,111341,The Great Zimbabwe,Plot out supply lines and build monuments to impress the African god of your choice.,7.84,https://cf.geekdo-images.com/KoL5aL8f_OpyzB9yYSI8VA__micro/img/8UHhLO9nBMMpKZrjRozasw5yYjM=/fit-in/64x64/filters:strip_icc()/pic1400856.jpg,https://cf.geekdo-images.com/KoL5aL8f_OpyzB9yYSI8VA__thumb/img/tGLIa6i13UQJv2-Xj47XEHZrDRg=/fit-in/200x150/filters:strip_icc()/pic1400856.jpg,https://cf.geekdo-images.com/KoL5aL8f_OpyzB9yYSI8VA__original/img/gtQ1AZ8xqbjEq9KhLK6aoz9TQm8=/0x0/filters:format(jpeg)/pic1400856.jpg,2012,2,5,150,14,"['Civilization', 'Economic', 'Industry / Manufacturing', 'Transportation']","['Jeroen Doumen', 'Joris Wiersinga']",Splotter Spellen,3.6929,"The Great Zimbabwe is a game about building a trade based civilization in ancient Africa. It has been inspired by the old kingdoms surrounding the Great Zimbabwe, a world heritage site in southern Africa. Far into the previous century, colonial governments denied that a civilization that produced such impressive monuments and beautiful artwork could have been African in origin. But of course, this civilization was African, and the country of Zimbabwe itself was proudly named after this impressive cultural heritage. As always in our games, we have used this history for inspiration; however, first and foremost we wanted to create a highly playable and replayable Splotter game, so in many cases we took liberties with historical names, periods and artwork.
In the game, players strive to build the most impressive monuments to one god of their choice. They can choose this god themselves-- each of the twelve gods offers a unique blessing, but each also requires a different amount of work to win the game. Building the monuments is done by developing a logistics network stretching across the region. Through this network, players produce and obtain ritual goods to raise their monuments and bring honour to the god of their choice.
Here's the flavour text from the rules:",['strategy']
344,22545,Age of Empires III: The Age of Discovery,"Send monks, merchants, soldiers, & more to explore, settle, & battle in the New World",7.51,https://cf.geekdo-images.com/t_4cyWZs2IC5s6V8t-R_Uw__micro/img/lBTbomgQVz0A2KO-fRkSeokLHEQ=/fit-in/64x64/filters:strip_icc()/pic990261.jpg,https://cf.geekdo-images.com/t_4cyWZs2IC5s6V8t-R_Uw__thumb/img/cEqYe_airlQ3ZSe2-E-4fhh4VXk=/fit-in/200x150/filters:strip_icc()/pic990261.jpg,https://cf.geekdo-images.com/t_4cyWZs2IC5s6V8t-R_Uw__original/img/oeo2_Rhha99XiJXG2K28W6J2qjM=/0x0/filters:format(jpeg)/pic990261.jpg,2007,2,5,120,10,"['Civilization', 'Exploration', 'Renaissance', 'Video Game Theme']",['Glenn Drover'],Tropical Games,3.1228,"Designed by Glenn Drover, this boardgame allows you to revisit the age of exploration and discovery. Take on the role of a colonial power seeking fame, glory, and riches in the New World. As you proceed through three ages, you can launch expeditions of discovery, colonize regions, expand your merchant fleet, build capitol buildings that give your nation distinct advantages, develop your economy, and, if necessary, declare war.
Though originally published for 5 players, the game is playable by 6 with the original components and board configuration with addition of a set of figures in another color. This was originally offered as an ""expansion"" and an incentive to pre-order the game. A 6 player expansion is also in the Glenn Drover's Empires: Builder Expansion, along with new capital buildings and National Advantage tiles.
Not to be confused with Age of Discovery.","['strategy', 'adventure', 'role playing']"
345,5,Acquire,"Invest, divest, and stage hostile takeovers in this classic real estate game.",7.35,https://cf.geekdo-images.com/FfguJeknahk88vKT7C3JLA__micro/img/PBfZck20tYP26yIhcX3g6d78lB8=/fit-in/64x64/filters:strip_icc()/pic7376875.jpg,https://cf.geekdo-images.com/FfguJeknahk88vKT7C3JLA__thumb/img/cpf23VxElZxuYaIGcgrjPn80sZY=/fit-in/200x150/filters:strip_icc()/pic7376875.jpg,https://cf.geekdo-images.com/FfguJeknahk88vKT7C3JLA__original/img/9xV86q5SLQAJtOsr0KKw5G6UOMM=/0x0/filters:format(jpeg)/pic7376875.jpg,1964,2,6,90,12,"['Economic', 'Territory Building']",['Sid Sackson'],3M,2.4949,"In Acquire, each player strategically invests in businesses, trying to retain a majority of stock. As the businesses grow with tile placements, they also start merging, giving the majority stockholders of the acquired business sizable bonuses, which can then be used to reinvest into other chains. All of the investors in the acquired company can then cash in their stocks for current value or trade them 2-for-1 for shares of the newer, larger business. The game is a race to acquire the greatest wealth.
History of Acquire: This Sid Sackson classic has taken many different forms over the years depending on the publisher, yet the rules and game play have stayed the same. The 1966 version of the 3M bookshelf edition included rules for a 2-player variant. The original version is part of the 3M Bookshelf Series.
Many books and websites incorrectly list this as a 1962 publication as the 3M Company used previously copyrighted artwork when they released the game in 1964. 3M actually received the idea for the game of ""Vacations"" from Sid Sackson in May of 1963 and decided to take his idea and put it into artwork they had developed the year before for a game called ""ACQUIRE."" 3M's original game idea for a game called ACQUIRE must not have been very good so they decided to take Sid's idea of Vacations and put it into their concept of ACQUIRE. They released some limited test market games in 8 Midwestern U.S. cities in December of 1963 with a box that had a 1963 copyright. These games had Sid's original rules. When 3M released the mass market games in 1964, they had developed some of Sid's original ideas and changed some rules and game play to match their production desires. They released them with outer boxes that were copyrighted 1962 and inner boxes with rules that were dated 1963.",['adventure']
346,385761,Faraway,Explore a mysterious land and fulfill quests on your way back.,7.59,https://cf.geekdo-images.com/u1cwi9BWSKsPxSkVO0BzbA__micro/img/zCPwdnnf3dymD6GtS6ej1PE4xpA=/fit-in/64x64/filters:strip_icc()/pic7570101.png,https://cf.geekdo-images.com/u1cwi9BWSKsPxSkVO0BzbA__thumb/img/5G45GN8CE7pq38fJMMocmPtV4_U=/fit-in/200x150/filters:strip_icc()/pic7570101.png,https://cf.geekdo-images.com/u1cwi9BWSKsPxSkVO0BzbA__original/img/jTY6_PRF6FrUgInfMajzobVy0S8=/0x0/filters:format(png)/pic7570101.png,2023,2,6,30,10,"['Adventure', 'Card Game', 'Fantasy']","['Johannes Goupy', 'Corentin Lebrat']",Catch Up Games,1.8797,"Welcome to Alula, a mysterious continent with ever-changing geography, shaped after the rhythm of the seasons. Beyond the Sea of Mists lies the mysterious continent of Alula. Roam across the land in search of its secrets, meet its inhabitants and list its wonders in order to gain more fame than your opponents.
Throughout a game of Faraway, you will play a row of 8 cards in front of you, from left to right. These cards represent the regions you will come across while exploring the lands. Characters on these cards will grant you victory points if you later fulfil the conditions they demand. At the end of the game, you walk back the same way, scoring cards in the opposite order you played them. There lies the heart of the gameplay. Throughout the game, the cards you play will serve both to set new objectives, and to meet the ones you played previously.
Each turn, you play a card from a hand of 3. Then you pick a new card from a face-up river. As play is simultaneous in Faraway, you must take into account a clever priority system in all of your choices ??being last to pick a card leaves you with fewer options and often less profitable choices for the next turns.
?�description from the publisher
Related Microbadges","['strategy', 'adventure', 'role playing']"
347,345972,Cat in the Box: Deluxe Edition,Win tricks without knowing the colour of your cards until you play them.,7.5,https://cf.geekdo-images.com/M1gT_9LjNqUzAx3RAqdGRQ__micro/img/BqvXBxojnNzUEiQxvG_ZW4zXXLk=/fit-in/64x64/filters:strip_icc()/pic6731829.jpg,https://cf.geekdo-images.com/M1gT_9LjNqUzAx3RAqdGRQ__thumb/img/3I1JU_hP5YtIg6RzcJePmmNOWAQ=/fit-in/200x150/filters:strip_icc()/pic6731829.jpg,https://cf.geekdo-images.com/M1gT_9LjNqUzAx3RAqdGRQ__original/img/euRCLPNg4Zpqqtvwdcjvbrna9JQ=/0x0/filters:format(jpeg)/pic6731829.jpg,2022,2,5,40,13,"['Animals', 'Card Game']",['Muneyuki Yokouchi (横内宗幸)'],Hobby Japan,2.0552,"Cat in the Box: Deluxe Edition is the quintessential quantum trick-taking card game for 2 - 5 cool cats, where your card?�s color isn?�t defined until you play it! Hypothesize how many tricks you will win, and record your bid. Place tokens on the community research board as you play your hand, and connect large groups of tokens to score even more points. Plan your tricks carefully as you cannot claim the color of a card with the same number that has already been declared. Doing so would be pawsitively catastrophic as you have just created a paradox!
New Deluxe Edition features:
Supports 2-5 players
High quality geekbits-style plastic tokens
Recessed player boards
Recessed Center Research board
Score pad
And a custom plastic insert to keep Cat in the Box: Deluxe Edition tidy!
?�description from the publisher",['adventure']
348,331106,The Witcher: Old World,"Explore the Continent, upgrade your skills, and fight monsters/witchers for trophies.",7.95,https://cf.geekdo-images.com/tQVVSXcmYLvAoI28cp-2Tg__micro/img/_HJ82D22Bt5RsQIjdE-_e_Kuq-k=/fit-in/64x64/filters:strip_icc()/pic5974859.jpg,https://cf.geekdo-images.com/tQVVSXcmYLvAoI28cp-2Tg__thumb/img/ahKWaUSws5zja4feB4VexkNV3Mc=/fit-in/200x150/filters:strip_icc()/pic5974859.jpg,https://cf.geekdo-images.com/tQVVSXcmYLvAoI28cp-2Tg__original/img/0JwC_ndrsYO3hkawTSLpdf9huKc=/0x0/filters:format(jpeg)/pic5974859.jpg,2023,1,5,150,14,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Travel', 'Video Game Theme']",['Łukasz Woźniak'],CD Projekt RED,2.8617,"In The Witcher: Old World, you become a witcher ??a professional monster slayer ??and immerse yourself in the legendary universe of The Witcher franchise.
Set years before the saga of Geralt of Rivia, The Witcher: Old World explores a time when monsters roamed the Continent in greater numbers, creating a constant peril that required the attention of expertly trained monster slayers, known as witchers. Five competing schools trained their adepts through brutal regimes, and once fully prepared, these now-recognized witchers set off to explore the land, seeking trouble and adventures and helping others for coin.
In this competitive adventure board game, 2-5 players travel across a vast map, embarking on masterfully penned quests, encountering and making ambiguous moral choices, fighting monsters ??and sometimes brawling with other witchers to defend their school's honor!
The game lets players construct their own unique decks of cards by choosing from a wide range of abilities: attacks, dodges, and witcher combat magic ??known as ""signs"". Through card synergy, players aim to achieve powerful combos as they utilize their witcher school's hallmark abilities to their full potential. Quests, battles, and even dice poker allow each player to earn money, obtain new items, and train their skills.",['adventure']
349,319966,The King Is Dead: Second Edition,A subtle game of shifting power and control over medieval Britain.,7.63,https://cf.geekdo-images.com/p8ATnANurMdieJUELqN3IA__micro/img/fHxe2PUdjbl0lBFdOg1CrkxlBo4=/fit-in/64x64/filters:strip_icc()/pic5680120.jpg,https://cf.geekdo-images.com/p8ATnANurMdieJUELqN3IA__thumb/img/Cf-tr8Vc6XGuB-sN_rZq65OSVDw=/fit-in/200x150/filters:strip_icc()/pic5680120.jpg,https://cf.geekdo-images.com/p8ATnANurMdieJUELqN3IA__original/img/bnDn1undC8Pf6iAICKSv-4RaJXs=/0x0/filters:format(jpeg)/pic5680120.jpg,2020,2,4,45,14,"['Medieval', 'Political', 'Wargame']",['Peer Sylvester'],Osprey Games,2.15,"The King is dead. The kingdom is divided. Three factions ??the Scottish, the Welsh, and the English ??vie for control and, across the sea, foreign invaders prepare to take advantage of the chaos. Players must marshal their limited resources to influence this power struggle, while ensuring that the faction that rises to dominate the realm favors them above all other claimants to the throne.
The King is Dead: Second Edition refreshes the accessible yet strikingly deep game with updated graphic design, gorgeous new artwork, and a brand-new asymmetric game mode for advanced play.","['strategy', 'role playing', 'war']"
350,245655,The King's Dilemma,"Leaders join in council to vote on the kingdom?�s issues, but with hidden motives!",7.73,https://cf.geekdo-images.com/FJlTdSMkK5hMNtCympJFmg__micro/img/oArgx9p7RYiMnLVBGx7mmL_HfWw=/fit-in/64x64/filters:strip_icc()/pic5429837.jpg,https://cf.geekdo-images.com/FJlTdSMkK5hMNtCympJFmg__thumb/img/WqPUfQOfiIe5FnBXz-EAavw5jCs=/fit-in/200x150/filters:strip_icc()/pic5429837.jpg,https://cf.geekdo-images.com/FJlTdSMkK5hMNtCympJFmg__original/img/pr_jKPa74JjBBm30Mo9Uj9Jq1-w=/0x0/filters:format(jpeg)/pic5429837.jpg,2019,3,5,60,14,"['Fantasy', 'Negotiation', 'Political']","['Hjalmar Hach', 'Lorenzo Silva']",Horrible Guild,2.2424,"The King's Dilemma is an interactive narrative experience with legacy elements, featuring several branching storylines leading to many possible finales and an evolving deck of event cards at its core. Players represent the various houses leading the government of the Kingdom of Ankist.
You will draw one card from the ""Dilemma deck"" each round and experience the game story as it unfolds. Each card poses a problem that the Council has to resolve on the King's behalf. As members of the King's inner circle, your decisions determine how the story proceeds and the fate of the kingdom. Each event happens only once: You discuss and bargain with the other players, then finally you make a choice, determining the outcome, progressing the game story, and possibly unlocking more events.
You have to keep the kingdom going, while also seeking an advantage for your own house; this power struggle may lead the kingdom into war, famine, or riot, or it could generate wealth and well-being. This will depend on your choices! The thing is, each decision has consequences, and what is good for the kingdom as a whole may be bad for your family...
Will you act for the greater good, or will you think only of yourself?","['strategy', 'war']"
351,187617,Nemo's War (Second Edition),"Sail the Seven Seas as the hardened captain Nemo, fighting the Imperialist powers.",7.82,https://cf.geekdo-images.com/E5DrIRQo7MJS3ww70esx5Q__micro/img/McCkGJ08tlVd2MaFbZydRdte9Qg=/fit-in/64x64/filters:strip_icc()/pic4892981.jpg,https://cf.geekdo-images.com/E5DrIRQo7MJS3ww70esx5Q__thumb/img/yHWA5FaijY02vokhP6ZubmDS8SY=/fit-in/200x150/filters:strip_icc()/pic4892981.jpg,https://cf.geekdo-images.com/E5DrIRQo7MJS3ww70esx5Q__original/img/XGQVNSRgWk94eCVNd14R1zZq62M=/0x0/filters:format(jpeg)/pic4892981.jpg,2017,1,4,120,13,"['Adventure', 'Exploration', 'Nautical', 'Novel-based', 'Science Fiction', 'Travel', 'Wargame']","['Chris Taylor (I)', 'Alan Emrich']",Victory Point Games,3.2846,"Jules Verne's classic novel Twenty Thousand Leagues Under the Sea tells the story of Captain Nemo and his astounding ship, the Nautilus. The second edition of Nemo's War, Victory Point Games' popular solitaire offering from designer Chris Taylor, is a greatly enhanced offering featuring mass-production printing and amazing Ian O'Toole art and graphics throughout.
Set in year 1870, you set sail in this amazing electric-powered submarine, assuming the role and motive of Captain Nemo as you travel across the seas on missions of science, exploration, anti-Imperialism, and War!
With this supercharged second edition of Nemo's War, prepare yourself for the adventure of a lifetime!
Complexity: 3 on a 9 scale
Scale: Time is measured in Action Points which represent approximately 1 week of real time; each encounter is with 1 major ship (its crew and contents) and each area is 1 Ocean.
Solitaire Suitability: 9 on a 9-point scale
Normally a solitaire game, Nemo's War also provides rules for 2-4 player fully cooperative and semi-competitive variants.","['strategy', 'adventure']"
352,2653,Survive: Escape from Atlantis!,"Sharks, whales, and sea monsters, oh my! Hurry and escape before Atlantis disappears!",7.32,https://cf.geekdo-images.com/0M2ck50-GanxBWfOHUZ64A__micro/img/2baP3_Bis1a9JJlMUKJQH4G1xu8=/fit-in/64x64/filters:strip_icc()/pic1300182.png,https://cf.geekdo-images.com/0M2ck50-GanxBWfOHUZ64A__thumb/img/6ffKBS6bTCKgCmH7zdHJIxcU8ZA=/fit-in/200x150/filters:strip_icc()/pic1300182.png,https://cf.geekdo-images.com/0M2ck50-GanxBWfOHUZ64A__original/img/5VKS6zuDQlHBQcTcDNRNFYu-7Bg=/0x0/filters:format(png)/pic1300182.png,1982,2,4,60,8,"['Adventure', 'Animals', 'Bluffing', 'Nautical']",['Julian Courtland-Smith'],Parker Brothers,1.6933,"Survive is a cutthroat game where players seek to evacuate their pieces from an island that is breaking up, while remembering where their highest-valued pieces are located to maximize their score.
An island made up of 40 hex-tiles is slowly sinking into the ocean (as the tiles are removed from the board). Each player controls ten people (valued from 1 to 6) that they try and move towards the safety of the surrounding islands before the main island finally blows up. Players can either swim or use boats to travel but must avoid sea serpents, whales and sharks on their way to safety.
Survive is very similar to Escape from Atlantis with some key differences.
Survive was reprinted as ""Survive: Escape from Atlantis!"" by publisher Stronghold Games and hit store shelves in February, 2011. The reprint contains the game Survive, as well as all the extra pieces needed in order to play the game as ""Escape from Atlantis"" and is actually found here: Survive: Escape from Atlantis! because it came with the dolphins and dive dice which were removed from the anniversary edition which was released a couple of years later (though they were later made available by themselves for owners of that version).
""Survive: Escape from Atlantis!"" is game #2 in the Stronghold Games ""Survive Line"".",['adventure']
353,154203,Imperial Settlers,"Construct buildings, harvest resources, and attack your neighbor!",7.31,https://cf.geekdo-images.com/pRwsvyfsRJ-lWWwVJCdXNg__micro/img/WEFU2OrColIqO6sdHtxY83vG_Jc=/fit-in/64x64/filters:strip_icc()/pic2871265.jpg,https://cf.geekdo-images.com/pRwsvyfsRJ-lWWwVJCdXNg__thumb/img/-b7sYBaUVxdZ_a33QRfvJY2ccAk=/fit-in/200x150/filters:strip_icc()/pic2871265.jpg,https://cf.geekdo-images.com/pRwsvyfsRJ-lWWwVJCdXNg__original/img/Cw8O-7dOaO1sZRy95QGImdSm7p8=/0x0/filters:format(jpeg)/pic2871265.jpg,2014,1,4,90,10,"['Ancient', 'Card Game', 'City Building', 'Civilization']",['Ignacy Trzewiczek'],Portal Games,2.7716,"Settlers from four major powers of the world have discovered new lands, with new resources and opportunities. Romans, Barbarians, Egyptians and Japanese all at once move there to expand the boundaries of their empires. They build new buildings to strengthen their economy, they found mines and fields to gather resources, and they build barracks and training grounds to train soldiers. Soon after they discover that this land is far too small for everybody, then the war begins...
Imperial Settlers is a card game that lets players lead one of the four factions and build empires by placing buildings, then sending workers to those buildings to acquire new resources and abilities. The game is played over five rounds during which players take various actions in order to explore new lands, build buildings, trade resources, conquer enemies, and thus score victory points.
The core mechanism of Imperial Settlers is based on concepts from the author's card game 51st State.","['strategy', 'war']"
